Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,1
0.960119167,0,0,0,0
0.960162208,0,0,1,0
0.960162333,0,0,0,0
0.960162458,0,0,1,0
0.960162583,1,0,0,0
0.960162750,1,0,1,0
0.960162875,0,0,0,0
0.960163000,0,0,1,0
0.960163125,0,1,0,0
0.960163250,0,1,1,0
0.960163375,0,1,0,0
0.960163500,0,1,1,0
0.960163625,1,1,0,0
0.960163750,1,1,1,0
0.960163875,1,1,0,0
0.960163917,1,0,0,0
0.960164000,1,0,1,0
0.960164125,0,0,0,0
0.960205208,0,0,1,0
0.960205333,0,0,0,0
0.960205458,0,0,1,0
0.960205583,0,0,0,0
0.960205708,0,0,1,0
0.960205833,0,0,0,0
0.960205958,0,0,1,0
0.960206125,0,0,0,0
0.960206250,0,0,1,0
0.960206375,0,0,0,0
0.960206500,0,0,1,0
0.960206625,1,0,0,0
0.960206750,1,0,1,0
0.960206875,1,0,0,0
0.960207000,1,0,1,0
0.960207125,0,0,0,0
0.960218083,0,0,0,1
0.960257667,0,0,0,0
0.960272542,0,0,1,0
0.960272667,0,0,0,0
0.960272792,0,0,1,0
0.960272917,0,0,0,0
0.960273042,0,0,1,0
0.960273167,0,0,0,0
0.960273292,0,0,1,0
0.960273417,0,0,0,0
0.960273458,0,1,0,0
0.960273542,0,1,1,0
0.960273708,0,1,0,0
0.960273833,0,1,1,0
0.960273958,1,1,0,0
0.960274083,1,1,1,0
0.960274208,1,0,0,0
0.960274333,1,0,1,0
0.960274458,0,0,0,0
0.960285375,0,0,1,0
0.960285500,0,0,0,0
0.960285667,0,0,1,0
0.960285792,0,0,0,0
0.960285917,0,0,1,0
0.960286042,0,0,0,0
0.960286167,0,0,1,0
0.960286292,0,0,0,0
0.960286417,0,0,1,0
0.960286542,0,0,0,0
0.960286667,0,0,1,0
0.960286792,0,0,0,0
0.960286833,0,1,0,0
0.960286917,0,1,1,0
0.960287042,0,1,0,0
0.960287167,0,1,1,0
0.960287292,0,1,0,0
0.960287333,0,0,0,0
0.960293833,0,0,0,1
0.960346458,0,0,0,0
0.960365667,0,0,1,0
0.960365833,0,0,0,0
0.960365958,0,0,1,0
0.960366083,1,0,0,0
0.960366208,1,0,1,0
0.960366333,1,0,0,0
0.960366458,1,0,1,0
0.960366583,1,1,0,0
0.960366708,1,1,1,0
0.960366833,1,1,0,0
