"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R13,R15,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"10k";;;
2;"R5,R3,R1,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"330";;;
3;"R9,R14,R16,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"20k";;;
4;"PIR_sensor2,PIR_sensor4,PIR_sensor3,PIR_sensor1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";4;"JST-3p";;;
5;"H3,H2";"MountingHole_4mm_Pad_TopOnly";2;"MountingHole";;;
6;"R2,R4,R6,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1k";;;
7;"Q4,Q1,Q2,Q3";"TO-126-3_Vertical";4;"BD681";;;
8;"U4,U3,U2,U1";"DIP-4_W7.62mm";4;"PC817";;;
9;"H5,H6";"MountingHole_2.5mm_Pad_TopOnly";2;"MountingHole";;;
10;"LED2,LED4,LED3,LED1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";4;"JST-2p";;;
11;"PowerIn1";"TerminalBlock_bornier-2_P5.08mm";1;"Screw_Terminal_01x02";;;
12;"RaspberryPiZeroW1";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20";;;
13;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"470uF";;;
